Share statistics,"Mar 2020","Sep 2019","Mar 2019","Sep 2018","Mar 2018","Sep 2017","Mar 2017","Sep 2016","Mar 2016","Sep 2015","Mar 2015","Sep 2014","Mar 2014","Sep 2013","Mar 2013","Sep 2012","Mar 2012","Sep 2011","Mar 2011","Sep 2010","Mar 2010",
,"Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"2 Nov 2020","12 Dec 2019","13 Jun 2019","19 Dec 2018","29 Jun 2018","7 Dec 2017","30 Jun 2017","16 Nov 2016","27 Jun 2016","4 Nov 2015","29 Jun 2015","10 Nov 2014","30 Jun 2014","4 Nov 2013","26 Jun 2013","8 Nov 2012","30 May 2012","25 Nov 2011","26 May 2011","3 Dec 2010","2 Jun 2010",
"Earnings Per Share (ZARc)",56,74.09,65.21,14.23,23.74,7.11,69.11,21.57,55.37,20.29,43.59,18.48,33.57,8.59,5.41,7.17,35.08,7.67,31.23,8.45,24.97,
"Diluted Earnings Per Share (ZARc)",55.77,53.32,37.49,7.85,23.47,6.55,68.67,21.43,55.02,20.16,43.29,18.35,33.35,8.53,5.38,7.12,34.84,7.61,31.23,8.45,24.97,
"Headline Earnings Per Share (Cont Ops) (ZARc)",56.84,75.21,64.21,10.55,27.19,7.11,70.75,21.54,55.32,19.91,39.64,15.46,18.8,3.02,4.65,7.14,20.27,7.01,21.69,7.75,10.39,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",56.6,54.13,36.91,5.82,26.88,6.55,70.3,21.41,54.97,19.78,39.36,15.35,18.68,3,4.62,7.1,20.12,6.96,21.69,7.75,10.39,
"Distributions Per Share (ZARc)",,,,,,,,,10.8,3.4,7,3,2.75,2,4.15,1.9,4,1.75,3.5,1.5,2,
"Net Asset Value Per Share (ZARc)",301.38,326.92,312.65,342.64,433.62,361.73,322.8,300.77,283.51,243.16,200.76,184.72,158.57,137.95,131.34,133.69,129.15,104.95,108.2,79.4,76.36,
"3 Year Beta",1.62,0.64,0.92,1.43,1.11,1.62,2.74,2.79,2.63,2.49,2.32,1.91,2.05,2.02,2.84,2.34,1.67,,,,,
"Cash Generated Per Share",-4.56,-9.52,-15.31,-1.76,-38.42,-13.99,-9.4,26.15,0.61,-22.57,21.87,1.46,9.7,-8.51,-14.17,-11.14,5.45,-1.27,-1.74,-0.5,0.18,
"Number of Months",12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,6,12,
"Earnings Per Share (Base Currency)",56,74.09,65.21,14.23,23.74,7.11,,,,,,,,,,,,,,,,
"Diluted Earnings Per Share (Base Currency",55.77,53.32,37.49,7.85,23.47,6.55,,,,,,,,,,,,,,,,
